Mainland -------2016-08-20 00:50:27
01 91.32 	 發布時間：2016-07-19 	 王俊凱 	 摩天輪的思念 網絡劇<超少年密碼>插曲
02 91.31 	 發布時間：2016-08-18 	 EXO 	 Lotto 中文版
03 89.81 	 發布時間：2016-08-12 	 ZERO-G 	 不說放棄好嗎 官方版
04 88.21 	 發布時間：2016-08-08 	 黃致列 	 最遠的距離 電影<夏有喬木 雅望天堂>插曲
05 86.73 	 發布時間：2016-07-20 	 TFBOYS 	 大夢想家 電視劇<九州天空城>片尾曲
06 86.15 	 發布時間：2016-08-17 	 黃致列 	 陪我一起做夢 官方版
07 78.73 	 發布時間：2016-07-21 	 薛之謙 	 我好像在哪見過你 官方版
08 75.54 	 發布時間：2016-08-15 	 張傑 	 浮誅 電視劇<青雲志>主題曲
09 67.04 	 發布時間：2016-07-19 	 李宇春 	 若 官方版
10 65.92 	 發布時間：2016-08-18 	 趙泳鑫 	 紈褲 官方版
11 64.66 	 發布時間：2016-08-09 	 楊洋 	 微微一笑很傾城 電視劇<微微一笑很傾城>片尾曲
12 64.54 	 發布時間：2016-08-16 	 宇宙少女 	 是秘密啊 中文版
13 63.85 	 發布時間：2016-08-12 	 霏(miss A) 	 One More Kiss 中文版
14 62.34 	 發布時間：2016-07-21 	 井柏然 	 最初的夢想 電影<微微一笑很傾城>插曲
15 60.98 	 發布時間：2016-08-16 	 譚維維 	 無問 電影<盜墓筆記>主題曲
16 59.62 	 發布時間：2016-07-19 	 趙泳鑫 	 說過的不算 官方版
17 59.52 	 發布時間：2016-07-25 	 吳亦凡 	 從此以後 電影<夏有喬木>主題曲
18 59.16 	 發布時間：2016-07-18 	 黃子韜 	 Black White (AB) 官方版
19 58.25 	 發布時間：2016-07-20 	 王錚亮 	 你是我的 電影<致青春.原來你還在這裡>插曲
20 55.48 	 發布時間：2016-08-18 	 唐藝昕 	 香橙小姐 官方版
41 29.46 	 發布時間：2016-07-13 	 孟瑞 	 不可抗力 電影<不可抗力之男僕的秘密>主題曲
42 28.35 	 發布時間：2016-07-21 	 霏(miss A) 	 不要急 Fantasy 中文版
43 27.73 	 發布時間：2016-08-02 	 崔恕 	 青春不散 官方版
44 27.57 	 發布時間：2016-07-25 	 蔡妍 	 事過境遷 官方版
45 26.25 	 發布時間：2016-07-29 	 Ume band 	 Just You
46 26.06 	 發布時間：2016-08-08 	 周興哲 	 This Is Love
