2016-08-16 2016095 	 01 05 09 12 18 32  12 	 297,413,702 	 7 73
2016-08-14 2016094 	 06 07 10 12 18 31  10 	 324,311,584 	 4 83
2016-08-11 2016093 	 06 09 15 17 25 27  09 	 298,416,216 	 18 131
2016-08-09 2016092 	 02 13 15 23 24 29  06 	 299,992,386 	 19 97
2016-08-07 2016091 	 04 08 14 22 23 28  07 	 329,710,234 	 17 226
2016-08-04 2016090 	 02 13 17 20 21 26  07 	 294,008,068 	 23 164
2016-08-02 2016089 	 01 03 14 30 31 32  08 	 288,232,376 	 10 48
2016-07-31 2016088 	 03 14 16 18 25 33  15 	 320,354,148 	 5 79
2016-07-28 2016087 	 02 03 10 11 14 21  12 	 288,396,896 	 3 84
2016-07-26 2016086 	 09 10 11 12 15 32  05 	 286,788,850 	 6 62
2016-07-24 2016085 	 01 12 19 20 21 25  16 	 319,888,112 	 7 245
2016-07-21 2016084 	 02 04 12 18 24 26  05 	 288,778,286 	 5 101
2016-07-19 2016083 	 09 16 17 24 30 31  04 	 291,921,542 	 7 99
2016-07-17 2016082 	 06 12 14 15 17 20  09 	 323,658,370 	 10 89
2016-07-14 2016081 	 02 06 15 25 30 32  07 	 288,505,018 	 3 73
2016-07-12 2016080 	 01 16 17 24 25 32  14 	 288,372,472 	 4 88
2016-07-10 2016079 	 01 03 10 12 24 28  02 	 322,821,956 	 2 101
2016-07-07 2016078 	 02 04 08 23 26 29  02 	 296,681,554 	 6 65
2016-07-05 2016077 	 01 09 17 19 20 29  10 	 294,629,008 	 3 93
2016-07-03 2016076 	 07 08 13 22 30 32  01 	 331,977,974 	 6 112
2016-06-30 2016075 	 01 03 06 16 29 32  07 	 295,574,016 	 0 65
2016-06-28 2016074 	 06 10 11 12 20 25  12 	 297,584,738 	 62 154
2016-06-26 2016073 	 09 11 12 15 16 20  13 	 327,032,018 	 5 80
2016-06-23 2016072 	 05 16 19 22 24 25  02 	 290,670,126 	 2 79
2016-06-21 2016071 	 19 21 26 28 29 32  01 	 293,734,448 	 4 83
2016-06-19 2016070 	 03 06 11 18 23 29  01 	 326,894,102 	 7 264
2016-06-16 2016069 	 08 10 11 20 21 27  11 	 300,232,584 	 6 168
2016-06-14 2016068 	 08 19 23 28 31 32  01 	 295,768,168 	 2 58
2016-06-12 2016067 	 09 13 18 20 27 31  04 	 327,487,486 	 5 117
2016-06-09 2016066 	 03 07 13 18 19 20  05 	 275,334,312 	 10 207
2016-06-07 2016065 	 13 16 22 25 26 27  14 	 298,326,848 	 2 87
2016-06-05 2016064 	 03 12 14 17 19 26  03 	 332,534,594 	 11 116
2016-06-02 2016063 	 16 17 18 23 28 32  07 	 304,409,952 	 0 83
2016-05-31 2016062 	 12 13 15 18 19 21  09 	 305,198,008 	 2 116
2016-05-29 2016061 	 05 06 08 18 20 32  08 	 340,147,518 	 21 127
2016-05-26 2016060 	 04 05 22 26 29 32  08 	 320,540,202 	 15 47
2016-05-24 2016059 	 04 11 12 20 25 28  15 	 322,601,954 	 9 153
2016-05-22 2016058 	 03 05 18 20 24 32  11 	 357,296,334 	 2 130
2016-05-19 2016057 	 07 12 19 22 23 26  11 	 325,499,780 	 11 256
2016-05-17 2016056 	 03 04 08 11 16 18  14 	 326,490,562 	 6 180
2016-05-15 2016055 	 05 06 10 16 22 26  11 	 350,383,284 	 11 232
2016-05-12 2016054 	 06 11 16 19 28 32  04 	 324,349,586 	 8 204
2016-05-10 2016053 	 02 08 10 12 29 31  01 	 320,149,454 	 5 165
2016-05-08 2016052 	 01 06 13 19 24 28  16 	 353,216,208 	 12 218
2016-05-05 2016051 	 01 02 04 09 15 33  12 	 324,257,380 	 2 58
