"","mpg","cyl","disp"
"Mazda RX4",21,6,160
"Mazda RX4 Wag",21,6,160
"Datsun 710",22.8,4,108
"Hornet 4 Drive",21.4,6,258
"Hornet Sportabout",18.7,8,360
"Valiant",18.1,6,225
"Duster 360",14.3,8,360
"Merc 240D",24.4,4,146.7
"Merc 230",22.8,4,140.8
"Merc 280",19.2,6,167.6
"Merc 280C",17.8,6,167.6
"Merc 450SE",16.4,8,275.8
"Merc 450SL",17.3,8,275.8
"Merc 450SLC",15.2,8,275.8
"Cadillac Fleetwood",10.4,8,472
"Lincoln Continental",10.4,8,460
"Chrysler Imperial",14.7,8,440
"Fiat 128",32.4,4,78.7
"Honda Civic",30.4,4,75.7
"Toyota Corolla",33.9,4,71.1
"Toyota Corona",21.5,4,120.1
"Dodge Challenger",15.5,8,318
"AMC Javelin",15.2,8,304
"Camaro Z28",13.3,8,350
"Pontiac Firebird",19.2,8,400
"Fiat X1-9",27.3,4,79
"Porsche 914-2",26,4,120.3
"Lotus Europa",30.4,4,95.1
"Ford Pantera L",15.8,8,351
"Ferrari Dino",19.7,6,145
"Maserati Bora",15,8,301
"Volvo 142E",21.4,4,121
